0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:51:34 +0900] "POST /kyobo/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:51:34 +0900] "GET /kyobo/main.jsp HTTP/1.1" 200 2373
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:53:36 +0900] "GET /kyobo/memberUpdate.do?userid=busan123 HTTP/1.1" 200 3214
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:55:49 +0900] "GET /kyobo/index.jsp HTTP/1.1" 200 15379
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:55:49 +0900] "GET /kyobo/js/event.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [20/Jun/2025:11:01:46 +0900] "GET /kyobo/notice%20board.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:11:01:46 +0900] "GET /kyobo/BoardServlet?command=board_list HTTP/1.1" 200 2079
0:0:0:0:0:0:0:1 - - [20/Jun/2025:11:01:46 +0900] "GET /kyobo/css/shopping.css HTTP/1.1" 200 544
0:0:0:0:0:0:0:1 - - [20/Jun/2025:11:02:21 +0900] "GET /kyobo/member/checkAdmin.jsp HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [20/Jun/2025:11:02:42 +0900] "GET /kyobo/index.jsp HTTP/1.1" 200 15379
0:0:0:0:0:0:0:1 - - [20/Jun/2025:11:02:42 +0900] "GET /kyobo/js/event.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [20/Jun/2025:11:02:43 +0900] "GET /kyobo/logout.do HTTP/1.1" 200 2398
0:0:0:0:0:0:0:1 - - [20/Jun/2025:11:02:49 +0900] "POST /kyobo/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:11:02:49 +0900] "GET /kyobo/main.jsp HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [20/Jun/2025:11:02:51 +0900] "GET /kyobo/index.jsp HTTP/1.1" 200 15376
0:0:0:0:0:0:0:1 - - [20/Jun/2025:11:02:51 +0900] "GET /kyobo/js/event.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [20/Jun/2025:11:02:56 +0900] "GET /kyobo/member/checkAdmin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:11:02:56 +0900] "GET /kyobo/productList.do HTTP/1.1" 200 4217
0:0:0:0:0:0:0:1 - - [20/Jun/2025:11:02:56 +0900] "GET /kyobo/upload/jquery.jpg HTTP/1.1" 200 27400
0:0:0:0:0:0:0:1 - - [20/Jun/2025:11:02:56 +0900] "GET /kyobo/upload/db.jpg HTTP/1.1" 200 7956
0:0:0:0:0:0:0:1 - - [20/Jun/2025:11:02:56 +0900] "GET /kyobo/upload/mysql.jpg HTTP/1.1" 200 47235
0:0:0:0:0:0:0:1 - - [20/Jun/2025:11:02:56 +0900] "GET /kyobo/upload/oracle.jpg HTTP/1.1" 200 39747
0:0:0:0:0:0:0:1 - - [20/Jun/2025:11:02:56 +0900] "GET /kyobo/upload/html5.jpg HTTP/1.1" 200 50735
0:0:0:0:0:0:0:1 - - [20/Jun/2025:11:17:10 +0900] "GET /kyobo/index.jsp HTTP/1.1" 200 15376
0:0:0:0:0:0:0:1 - - [20/Jun/2025:11:17:10 +0900] "GET /kyobo/js/event.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [20/Jun/2025:11:17:13 +0900] "GET /kyobo/notice%20board.jsp HTTP/1.1" 302 -
